Distance_from_0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,MEAN,STD
0.01,1,2,1,3,2,1,2,1,2,1,2,2,1,1,1,2,2,1,1,2,1,2,1,2,3,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,3,3,2,1,3,2,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,2,2,2,1,3,2,2,2,2,2,1,2,2,3,1.566037736,0.61750447
0.02,2,4,4,3,3,2,3,4,3,2,2,3,2,2,4,5,2,4,4,4,4,1,3,3,3,3,4,5,3,3,3,3,3,3,3,2,3,3,3,2,4,3,3,1,3,3,3,4,3,1,3,2,3,4,3,3,2,4,3,4,2,3,2,3,3,3,4,3,1,2,3,2,3,3,3,3,2,2,2,2,1,3,3,3,3,3,4,4,2,3,3,2,3,3,4,2,2,3,3,2,3,4,4,3,3,1,2.886792453,0.84313197
0.03,2,3,4,3,3,2,3,2,3,3,2,3,2,2,4,5,2,3,3,3,3,2,3,4,2,3,4,5,4,2,3,2,3,3,2,2,3,2,3,3,4,3,4,3,2,3,3,3,3,2,3,3,4,4,2,1,2,2,2,4,2,3,3,4,4,2,4,3,2,2,3,3,3,2,4,2,2,2,2,4,1,2,4,3,2,3,4,5,2,3,3,3,2,3,2,2,2,3,3,2,3,4,5,3,3,1,2.839622642,0.874362815
0.04,4,4,3,3,3,4,4,4,5,3,4,2,3,2,5,3,3,3,6,3,3,3,4,4,2,2,4,4,3,3,3,4,3,3,4,2,4,3,2,3,4,4,4,4,2,3,3,4,2,3,4,4,3,4,3,4,4,3,3,5,3,2,5,3,2,3,4,3,3,5,3,4,3,4,3,5,4,3,3,3,3,5,4,4,3,2,3,5,3,4,4,4,3,4,2,3,2,2,2,3,4,4,4,3,3,1,3.358490566,0.885746166
0.05,5,3,2,5,3,2,5,3,4,2,2,3,2,2,5,4,3,3,3,4,2,2,3,3,1,3,3,4,2,2,2,4,3,3,3,3,3,2,2,4,4,3,4,3,3,2,3,3,3,3,5,3,2,4,3,3,4,2,3,4,3,1,5,3,1,3,4,3,3,3,3,2,3,2,3,4,3,2,2,3,3,5,4,4,4,2,5,7,3,3,2,3,1,3,4,2,2,4,3,3,3,5,4,4,4,2,3.094339623,1.0376558
0.06,4,3,4,5,3,3,5,3,5,4,3,3,4,1,4,5,3,3,3,4,3,5,4,5,2,2,3,5,3,2,4,4,2,3,4,4,3,3,3,4,4,3,4,2,1,3,2,3,2,4,5,5,4,5,4,2,5,5,4,4,4,2,5,4,3,6,4,3,3,2,2,3,3,5,2,5,4,3,2,3,2,5,3,5,3,3,2,5,3,4,4,4,2,4,3,4,3,3,3,5,4,3,4,4,4,1,3.481132075,1.071102077
0.07,5,5,4,7,4,3,3,4,5,2,3,4,4,4,5,3,4,5,5,5,3,3,4,4,2,3,4,4,4,3,2,3,3,4,5,4,4,5,3,3,4,4,4,4,3,3,3,4,2,3,3,5,2,3,4,3,4,5,6,5,4,2,3,3,3,5,4,4,1,5,3,4,4,5,2,4,4,4,2,3,3,4,4,4,4,3,3,6,3,6,3,4,3,3,4,3,3,2,2,3,6,2,4,3,3,3,3.660377358,1.059081295
0.08,6,3,5,4,3,6,4,5,5,4,2,2,5,2,4,4,3,4,4,4,3,5,2,5,1,4,6,4,4,2,3,4,3,2,4,4,3,2,3,4,3,4,5,4,2,3,3,4,3,3,5,4,3,5,5,3,5,5,5,3,3,1,3,4,1,5,5,4,4,1,3,3,3,3,2,4,3,5,3,5,3,4,4,5,4,3,5,6,3,5,4,3,3,4,5,3,3,5,3,5,5,4,5,4,4,3,3.716981132,1.144383527
0.09,5,4,5,5,4,4,3,4,5,3,3,3,5,1,5,5,3,3,5,4,4,3,3,4,2,3,6,3,4,2,4,5,4,2,3,3,3,3,5,3,4,3,5,5,2,3,5,4,3,4,5,3,4,3,5,3,5,5,6,4,4,2,6,3,3,7,5,3,5,2,4,4,5,4,2,6,3,4,3,3,1,4,3,6,5,3,4,5,3,6,4,2,3,4,4,4,4,2,2,4,5,4,6,5,5,3,3.849056604,1.193573688
0.1,6,5,5,7,3,5,4,4,4,4,3,3,4,2,5,4,3,2,5,5,2,3,5,5,1,4,3,3,3,3,1,6,3,3,5,4,3,1,4,4,3,3,6,4,2,2,4,4,3,3,5,4,3,5,6,3,6,4,4,4,5,2,5,4,5,5,5,5,3,4,3,4,5,5,3,3,5,4,3,4,2,4,5,5,3,4,5,5,4,4,3,2,3,5,3,3,3,4,3,4,6,3,4,4,4,5,3.858490566,1.182722277
