Distance_from_0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,Sample 107,Sample 108,Sample 109,Sample 110,Sample 111,MEAN,SD
0.01,1,2,2,1,2,1,2,1,0,1,2,1,1,2,1,0,2,1,1,0,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,0,0,2,1,2,1,1,1,1,1,1,2,1,1,0,0,1,0,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1.18018018,0.559190945
0.02,3,3,3,2,2,1,4,3,4,3,3,3,2,3,3,3,2,3,3,2,4,3,3,3,3,3,3,3,3,2,4,3,3,2,2,2,2,1,3,3,3,3,3,2,3,2,3,3,4,2,1,1,3,2,3,3,2,3,2,3,2,3,3,3,3,2,2,2,2,3,3,2,4,3,2,4,3,3,2,1,3,1,3,3,2,4,3,3,4,3,3,1,3,3,4,3,3,2,3,2,1,2,3,4,2,1,3,4,2,3,1,2.657657658,0.791953804
0.03,3,3,3,2,3,1,3,4,4,3,3,3,2,3,3,2,2,3,3,4,4,2,3,2,4,3,3,3,3,4,3,4,2,3,3,3,3,1,3,3,3,3,5,1,4,3,3,3,4,3,2,1,3,2,3,2,2,3,2,2,2,3,3,2,3,3,2,3,1,2,3,3,4,3,3,4,3,3,2,4,3,2,3,3,2,4,4,3,4,3,3,2,3,2,4,2,3,1,2,2,1,4,3,3,3,2,2,3,3,3,3,2.801801802,0.807012671
0.04,3,3,4,3,4,2,4,4,4,4,3,3,3,3,3,3,2,4,4,5,4,3,2,3,5,4,3,3,3,4,4,4,3,4,3,4,4,4,3,3,4,3,3,2,5,4,4,1,3,3,3,3,3,3,3,3,2,2,3,4,2,3,3,3,3,3,2,4,3,3,4,3,4,4,4,4,4,3,3,4,4,4,5,4,3,5,4,3,5,2,4,4,5,3,4,2,3,3,2,3,3,5,3,4,3,2,2,3,3,2,5,3.351351351,0.838273644
0.05,3,3,4,3,4,2,4,4,4,4,3,3,3,3,3,3,4,3,4,5,4,4,4,4,4,4,3,3,3,5,3,4,3,4,3,4,4,5,3,3,4,3,2,1,4,4,3,3,3,3,3,3,4,3,3,2,3,2,3,4,2,3,2,4,3,2,2,4,2,3,3,3,4,3,4,5,4,3,3,4,3,3,5,3,3,5,2,2,3,2,4,3,4,4,4,2,3,2,2,4,4,3,3,2,1,3,3,4,4,3,3,3.261261261,0.838957272
0.06,3,3,4,3,4,2,3,5,4,4,4,3,4,3,3,4,2,4,4,6,4,5,4,3,5,4,4,3,3,7,4,3,2,4,3,4,4,5,3,3,4,3,3,2,5,5,3,2,6,3,3,3,5,3,4,2,4,2,2,3,2,4,2,3,5,3,3,4,3,2,4,3,3,2,3,4,4,3,3,4,3,4,3,5,4,7,3,3,3,2,5,3,6,3,5,1,3,2,3,4,4,4,2,1,2,2,3,4,2,3,2,3.432432432,1.133150248
0.07,3,3,4,3,5,3,3,4,4,4,4,3,3,3,3,5,5,4,4,7,4,4,5,3,6,4,4,3,3,6,4,4,4,4,3,5,4,5,3,3,4,3,1,3,7,5,2,3,6,3,3,3,5,3,4,5,4,4,3,2,3,5,3,5,3,2,3,4,3,6,4,4,5,3,3,6,4,4,3,4,3,5,5,3,5,5,3,4,5,3,5,4,6,4,6,4,3,3,3,5,4,4,3,4,2,4,2,4,2,4,3,3.855855856,1.110666032
0.08,3,3,5,3,5,3,2,4,3,4,4,3,3,3,3,7,5,4,5,7,4,5,4,3,5,4,4,3,3,5,4,2,3,4,3,5,4,5,4,3,4,3,1,2,6,4,2,2,6,3,3,3,5,3,4,5,3,4,2,3,4,5,3,3,5,2,4,4,3,4,5,3,5,2,4,5,4,5,2,4,4,2,4,5,5,8,3,3,5,2,5,3,5,3,6,4,5,3,4,3,3,3,3,3,4,3,2,2,3,4,4,3.747747748,1.209571438
0.09,3,3,4,3,5,2,3,5,4,4,4,3,5,3,3,7,4,4,5,7,4,5,5,3,7,4,4,4,4,6,5,6,3,4,3,5,4,5,4,3,5,3,1,2,5,3,1,3,6,2,3,3,5,4,5,4,3,3,3,2,3,6,3,5,5,3,4,3,4,2,4,4,3,3,3,6,3,5,2,4,5,3,5,6,4,6,5,5,5,2,4,4,6,3,6,3,5,3,5,3,4,2,3,6,3,3,2,1,3,3,2,3.873873874,1.321962158
0.1,3,3,5,4,5,2,2,5,4,4,4,3,6,3,4,7,5,3,5,7,4,4,3,2,8,4,5,4,5,7,4,3,3,4,3,5,4,6,4,3,5,3,1,1,5,4,2,2,8,2,3,3,5,4,4,5,3,4,4,3,3,5,4,4,4,1,4,3,3,5,3,3,5,3,3,7,4,6,3,4,4,5,4,6,5,8,3,7,3,2,4,3,5,3,6,2,4,4,4,3,4,2,3,6,4,3,2,1,3,4,4,3.945945946,1.482245458
